id,title,url,date,description,personas,barriers,barrier_theme,tags,publisher,type,featured
ai-insights-generative-ai-2025,AI Insights: Generative AI,https://www.gov.uk/government/publications/ai-insights/ai-insights-generative-ai-html,9/1/2025,"UK’s Government Digital Service explains that generative AI is a subset of artificial intelligence able to produce text, images or other outputs using probabilistic models trained on large datasets. The guidance describes how large language models tokenise and embed input text before using transformer networks to generate outputs, and it stresses that these models replicate patterns without true understanding or sentience.",Business|Programme|Project,digital-and-tech-constraints.legacy-systems-and-technical-debt,digital-and-tech-constraints,generative-ai|large-language-models|ai-basics|tokenisation|embeddings,UK Government,article,
ai-insights-prompt-engineering-2025,AI Insights: Prompt Engineering,https://www.gov.uk/government/publications/ai-insights/ai-insights-prompt-engineering-html,9/1/2025,"This AI Insights guidance introduces prompt engineering – the practice of constructing clear, structured prompts for large language models. It compares prompts to recipes, emphasising that the data, examples and instructions we provide shape the output, and it explains that well‑designed prompts improve LLM accuracy and safety while vague prompts risk unexpected results. The document notes that prompt engineering must prioritise safety by sanitising queries to prevent harmful or unsafe instructions.",Business|Programme|Project,risk-ethics-and-assurance.lack-of-structured-assurance-mechanisms,risk-ethics-and-assurance,prompt-engineering|large-language-models|safe-ai|llm-instructions|ai-guidance,UK Government,article,
seven-lessons-in-ai-2025,Seven lessons in AI (Project Magazine),https://www.apm.org.uk/blog/seven-lessons-in-artificial-intelligence/,9/1/2025,"Association for Project Management author Thomas Bloor distils lessons from organisations experimenting with AI. He advises leaders to champion AI adoption, run experiments to learn quickly, control risk and evaluate tools, refine solutions through feedback loops, scale successful pilots and invest in skills so that teams are comfortable using AI.",Business|Programme|Project,skill-and-culture-gaps.technical-supply|skill-and-culture-gaps.cultural-resistance,skill-and-culture-gaps,ai-adoption|project-management|lessons-learned|change-management|skills,Association for Project Management,article,
vision-for-data-built-environment-2025,A Vision for Data in the Built Environment,https://www.bpie.eu/publication/a-vision-for-data-in-the-built-environment-transforming-sustainability-reporting/,3/1/2025,"The Circular Buildings Coalition’s report notes that sustainability reporting in the built environment is fragmented by differing data requirements across regulations, investors and rating schemes. It calls for a common data dictionary, a federated data model and digital building logbooks to reduce reporting burdens, improve investment decisions and accelerate sustainability; aligning regulatory data requests and investing in digital solutions are among its key recommendations.",Business|Programme,data-pooling-and-interoperability.incompatible-data-formats,data-pooling-and-interoperability,data-governance|sustainability-reporting|built-environment|digital-logbooks|interoperability,Buildings Performance Institute Europe,report,
ai-automation-construction-citb-2021,A Challenge and an Opportunity: Artificial Intelligence and Automation in the Construction Industry,https://www.citb.co.uk/about-citb/what-we-do/research-insight/artificial-intelligence-and-automation/,1/1/2021,"The Construction Industry Training Board’s 2021 research report argues that construction remains a largely manual, low‑automation sector and that digital adoption offers significant productivity gains. It urges industry leaders to agree on a shared definition of digital construction, share best practice and invest in digital skills so that organisations can exploit AI and automation; without aligned leadership the sector risks missing critical opportunities in the coming years.",Business|Programme,skill-and-culture-gaps.technical-supply|skill-and-culture-gaps.cultural-resistance|data-pooling-and-interoperability.privacy-and-ip-concerns|leadership-and-alignment.misaligned-metrics,skill-and-culture-gaps|data-pooling-and-interoperability|leadership-and-alignment,construction|automation|digital-skills|industry-report|leadership,CITB,report,
abc-ai-tech-report-2024,ABC AI Tech Report,https://aec-business.com/construction-and-ai-what-contractors-need-to-know-from-abcs-new-report/,10/1/2024,"Associated Builders and Contractors’ fourth technology report outlines how artificial intelligence can enhance efficiency and innovation in construction. The report combines an AI resource guide, essays on AI’s impact and a Hensel Phelps case study showing how the contractor used the Track3D platform to improve project efficiency; industry leaders stress that the report helps contractors learn about AI and machine learning to improve safety, quality and profitability.",Business|Programme,digital-and-tech-constraints.legacy-systems-and-technical-debt,digital-and-tech-constraints,construction|ai-resources|case-study|technology-report|industry-guidance,aec-business.com,report,
ai-as-artificial-ignorance-2025,AI as Artificial Ignorance,https://www.researchgate.net/publication/378373583_AI_as_Artificial_Ignorance,2/1/2025,"Bent Flyvbjerg’s working paper argues that current AI resembles ‘artificial ignorance’ because it can mix true and false statements, producing persuasive output without regard for truth. He compares AI to ‘bullshit,’ noting that both prioritise rhetoric over accuracy, and warns that users must be sceptical and verify AI outputs rather than accepting them at face value. The paper calls for ethical governance and rigorous validation of AI systems.",Business,risk-ethics-and-assurance.lack-of-structured-assurance-mechanisms,risk-ethics-and-assurance,ai-ethics|accuracy|bias|skepticism|governance,ResearchGate,report,
adopt-deeper-use-of-ai-bit-2025,Adopt: Understanding what drives and inhibits deeper use of AI,https://www.bi.team/wp-content/uploads/2025/09/BIT-AI-ADOPT-2025.pdf,9/1/2025,"Behavioural Insights Team researchers frame AI adoption as a continuum from no adoption to shallow and deep use. They argue that adoption is a behavioural process influenced by motivation, capability and trust; barriers such as low salience of benefits, status‑quo bias, friction, cognitive load and psychological threats inhibit adoption, while enablers include implementation intentions, framing benefits concretely, harnessing social norms, operational readiness and transparency.",Business|Programme,skill-and-culture-gaps.technical-supply|skill-and-culture-gaps.cultural-resistance,skill-and-culture-gaps,ai-adoption|behavioural-science|motivation|capability|trust,Behavioural Insights Team,report,
agentic-ai-new-frontier-genai-2024,Agentic AI – the new frontier in GenAI: An executive playbook,https://www.pwc.com/m1/en/publications/agentic-ai-the-new-frontier-in-genai.html,11/1/2024,"PwC’s executive playbook explains that agentic AI – systems where multiple AI agents collaborate autonomously – is poised to make a major economic impact and transform industries. It highlights key features of agentic AI such as autonomy, goal‑oriented behaviour, environment interaction, learning capability, workflow optimisation and multi‑agent conversation, and argues that organisations should leverage multimodal GenAI while ensuring ethical safeguards to boost efficiency, customer experience and revenue growth.",Business|Programme,risk-ethics-and-assurance.lack-of-structured-assurance-mechanisms,risk-ethics-and-assurance,agentic-ai|genai|executive-playbook|multi-agent|ethical-ai,PwC,playbook,
unlocking-cultural-readiness-for-ai-2025,Unlocking Cultural Readiness for AI,https://www.linkedin.com/pulse/unlocking-cultural-readiness-ai-alexander-budzier-m5moe/,9/1/2025,"Alexander Budzier’s LinkedIn article argues that AI transformations succeed or fail based on organisational culture rather than algorithms. He emphasises that culture shifts when behaviours, structures and incentives change, and that AI adoption requires new decision‑making structures, rapid prototyping and empowered teams. The article stresses that trust – built through credibility, reliability, intimacy and shared goals – explains much of the variation in digital transformation success and encourages leaders to assess trust deficits and communicate clearly to close them.",Business|Programme,data-pooling-and-interoperability.privacy-and-ip-concerns|leadership-and-alignment.misaligned-metrics,data-pooling-and-interoperability|leadership-and-alignment,organisational-culture|ai-transformation|trust|leadership|change-management,LinkedIn,report,
